Site/Project: Siskiyou,,,,,,,,,,,
Experiment: Assisted Colonization,,,,,,,,,,,
Date: July-Aug 2011,,,,,,,,,,,
Data Description:Soil moistur and light measurements in each plot,,,,,,,,,,,
Protocols: ,,,,,,,,,,,
CVS file & path: Oregon/Assited_relocation/Data/Soil_moisture_light.csv,,,,,,,,,,,
Names of Data Takers: Marko Spasojevic,,,,,,,,,,,
"Column Info: Site, Plot number, June Soil Moisture (%VWC), July Soil Moisture (%VWC), August Soil Moisture (%VWC), Light (umol)",,,,,,,,,,,
Abbreviations & definitions: Aug: August,,,,,,,,,,,
Site,Plot,June_SM_%VWC,July_SM_%VWC,Aug_SM_%VWC,AVG_SM_%VWC,Light.umol,,,,,
6S,4,11.6,13.5,11.5,12.2,1484.1,,,,,
6S,5,12.3,16.9,13.9,14.4,1804.7,,,,,
6S,6,10.2,34.1,11.5,18.6,1285.2,,,,,
6S,7,10.5,10.0,9.5,10.0,1772.1,,,,,
6S,8,12.0,14.9,9.0,12.0,1674.4,,,,,
6S,9,7.3,16.4,10.5,11.4,1751.5,,,,,
6S,10,28.3,17.9,25.7,24.0,632.0,,,,,
7N,1,12.7,8.5,11.5,10.9,1886.0,,,,,
7N,2,12.7,13.5,13.9,13.4,756.3,,,,,
7N,3,23.9,23.8,13.5,20.4,1857.3,,,,,
7N,4,16.3,26.7,13.0,18.7,109.4,,,,,
7N,5,25.0,23.3,22.3,23.5,1901.1,,,,,
7N,6,30.4,30.1,20.8,27.1,1479.4,,,,,
7N,7,24.3,11.5,5.1,13.6,1805.7,,,,,
7N,8,23.7,18.4,12.5,18.2,1853.3,,,,,
7N,9,16.7,13.5,9.5,13.2,1706.5,,,,,
7N,10,16.0,12.5,10.0,12.8,80.7,,,,,
7S,1,0.0,5.1,8.1,4.4,1972.2,,,,,
7S,2,9.1,8.1,9.5,8.9,150.7,,,,,
7S,3,2.9,7.6,10.0,6.8,1965.9,,,,,
7S,4,10.2,9.0,5.1,8.1,474.1,,,,,
7S,5,4.0,8.1,5.1,5.7,1912.6,,,,,
7S,6,4.0,7.1,3.1,4.7,629.0,,,,,
7S,7,16.7,19.3,10.0,15.3,1929.4,,,,,
7S,8,24.6,19.8,8.1,17.5,769.7,,,,,
7S,9,11.3,12.5,10.0,11.3,2014.0,,,,,
7S,10,4.4,8.5,8.1,7.0,787.8,,,,,
8N,1,8.4,12.3,15.9,12.2,1916.7,,,,,
8N,2,17.8,21.8,15.4,18.3,1914.0,,,,,
8N,3,7.6,20.3,13.0,13.6,1950.0,,,,,
8N,4,11.6,17.9,12.5,14.0,1962.7,,,,,
8N,5,13.4,20.8,12.0,15.4,1949.5,,,,,
8N,6,5.5,10.5,7.1,7.7,1618.7,,,,,
8N,7,10.2,14.9,11.5,12.2,1978.8,,,,,
8N,8,8.7,15.9,8.5,11.0,1070.6,,,,,
8N,9,8.4,14.4,11.5,11.4,1940.0,,,,,
8N,10,10.9,21.3,14.9,15.7,1279.0,,,,,
8S,1,11.6,12.0,8.3,10.6,2020.0,,,,,
8S,2,14.9,15.9,11.2,14.0,1939.0,,,,,
8S,3,5.1,9.5,7.1,7.2,1942.7,,,,,
8S,4,6.6,17.4,13.9,12.6,1982.5,,,,,
8S,5,3.7,4.5,9.5,5.9,1960.5,,,,,
8S,6,25.0,24.3,17.4,22.2,1668.0,,,,,
8S,7,11.3,17.9,18.4,15.9,1974.8,,,,,
8S,8,23.9,17.4,16.9,19.4,2011.0,,,,,
8S,9,14.9,24.3,14.9,18.0,1970.5,,,,,
8S,10,29.3,30.6,14.4,24.8,617.9,,,,,
9,1,28.6,35.5,25.2,29.8,1980.7,,,,,
9,2,52.5,41.4,33.6,42.5,1955.2,,,,,
9,3,29.7,48.8,34.6,37.7,1979.0,,,,,
9,4,50.7,61.6,44.9,52.4,1829.3,,,,,
9,5,42.0,43.9,28.2,38.0,1888.8,,,,,
9,6,37.3,39.5,33.1,36.6,1885.4,,,,,
9,7,42.4,48.5,40.9,43.9,1924.4,,,,,
9,8,46.3,38.5,32.6,39.1,1914.7,,,,,
9,9,45.2,49.3,40.0,44.8,1872.7,,,,,
9,10,31.5,55.7,44.9,44.0,1879.9,,,,,
10,1,30.1,51.3,20.8,34.1,522.6,,,,,
10,2,22.6,30.6,30.1,27.8,782.2,,,,,
10,3,24.6,30.1,25.2,26.6,1914.2,,,,,
10,4,31.5,43.4,23.3,32.7,1881.8,,,,,
10,5,30.8,39.5,17.4,29.2,1910.2,,,,,
10,6,19.6,39.5,29.2,29.4,1826.0,,,,,
10,7,20.3,43.9,21.3,28.5,1891.2,,,,,
10,8,25.4,39.5,24.7,29.9,1847.2,,,,,
10,9,37.7,38.3,28.2,34.7,1414.9,,,,,
10,10,23.2,27.2,33.6,28.0,1938.9,,,,,
11N,1,6.1,7.6,10.5,8.1,,,,,,
