Site,Slope,Plot,Code,Elev,OM,Log_OM,N,Log_N,P_WB,Log_P_WB,P_SB,Log_P_SB,PH,Log_PH,K,Log_K,MG,Log_MG,CA,Log_CA,CA/MG,Log_CA/MG,CEC,Log_CEC,Prin1,Prin2,Light.umol,%HOR,%SEN,%ARA,%PHA
11,N,10,11N,719,4.4,1.482,117.6,4.767,0.3,-1.204,10.7,2.37,6.8,1.917,25.2,3.227,867.2,6.765,220.1,5.394,0.254,-1.371,8.6,2.152,0.316791405,-0.833953154,,0.3125,0,0.125,0.0625
11,S,1,11S,706,2.5,0.916,79.6,4.377,0,0,6.9,1.932,7.2,1.974,12.9,2.557,759.7,6.633,139.3,4.937,0.183,-1.696,7,1.946,-1.327892973,-0.942091283,,0.4375,0,0.0625,0
11,S,2,11S,706,3.3,1.194,95.4,4.558,2,0.693,5,1.609,7.2,1.974,19.2,2.955,1053,6.959,214.1,5.366,0.203,-1.593,9.8,2.282,-0.705559037,-0.35749146,,0.5625,0.0625,0.25,0
11,S,3,11S,706,3,1.099,90,4.5,1,0,6,1.792,6.9,1.932,30,3.401,1058,6.964,260.3,5.562,0.246,-1.402,10.3,2.332,-0.337646715,-0.737940565,,0.25,0,0.125,0
11,S,4,11S,706,3.2,1.163,94,4.543,1,0,4,1.386,7.3,1.988,18.6,2.923,1286,7.159,154.2,5.038,0.12,-2.121,11.4,2.434,-1.395644455,0.301461125,,0.1875,0,0.0625,0
11,S,5,11S,706,1.7,0.531,63.4,4.149,0.8,-0.223,4.7,1.548,7.2,1.974,13.9,2.632,931.5,6.837,121.3,4.798,0.13,-2.039,8.3,2.116,-2.206682953,-0.706913344,,0.3125,0,0.1875,0
11,S,6,11S,706,2.9,1.065,87.6,4.473,2,0.693,5,1.609,7.2,1.974,16.5,2.803,1032,6.939,140.1,4.942,0.136,-1.997,9.3,2.23,-1.18138323,-0.177777862,,0.4375,0,0.3125,0.25
11,S,7,11S,706,1.3,0.262,56,4.025,0.7,-0.357,14.4,2.667,7.2,1.974,19,2.944,875,6.774,133,4.89,0.152,-1.884,8,2.079,-2.328187929,-0.961296778,,0.25,0.0625,0.1875,0
11,S,8,11S,706,3.5,1.253,99.6,4.601,0.7,-0.357,12.6,2.534,7.1,1.96,19,2.944,793,6.676,154,5.037,0.194,-1.639,7.4,2.001,-0.566721544,-0.716456376,,0.625,0,0.1875,0.25
11,S,9,11S,706,1.3,0.262,55.6,4.018,2,0.693,7,1.946,7.2,1.974,10,2.303,667,6.503,108,4.682,0.162,-1.821,6.1,1.808,-2.247067222,-1.41021745,,0.4375,0,0,0
11,S,10,11S,706,1.2,0.182,53.8,3.985,2,0.693,8,2.079,7.2,1.974,9,2.197,427,6.057,65,4.174,0.152,-1.882,3.9,1.361,-2.428167755,-2.024933991,,,,,
