Site,Slope,Plot,Code,Elev,OM,Log_OM,N,Log_N,P_WB,Log_P_WB,P_SB,Log_P_SB,PH,Log_PH,K,Log_K,MG,Log_MG,CA,Log_CA,CA/MG,Log_CA/MG,CEC,Log_CEC,Prin1,Prin2,Light.umol,%HOR,%SEN,%ARA,%PHA
5,X,3,5X,1038,5.6,1.723,141.6,4.953,0.5,-0.693,16.5,2.803,6.6,1.887,38.9,3.661,390.4,5.967,326.3,5.788,0.836,-0.179,5.3,1.668,1.949326724,-2.434847228,1981.7,0.875,0,0.0625,0.125
5,X,4,5X,1038,6.8,1.917,165.8,5.111,0.1,-2.303,16.8,2.821,6.5,1.872,40.2,3.694,347.7,5.851,278.2,5.628,0.8,-0.223,4.7,1.548,2.124554164,-2.5723072,1951.2,1,0,0,0.25
5,X,5,5X,1038,2.7,0.993,83.6,4.426,0.6,-0.511,18.3,2.907,6.8,1.917,42.5,3.75,1068,6.974,241.2,5.486,0.226,-1.488,10.5,2.351,-0.317446287,-0.71811091,1975.8,0.8125,0.0625,0.125,0.125
5,X,6,5X,1038,5.1,1.629,131.2,4.877,0.9,-0.105,30.5,3.418,6.7,1.902,39.6,3.679,253.9,5.537,274.8,5.616,1.082,0.079,3.8,1.335,1.942138779,-3.039729777,497.3,0.9375,0,0,0.3125
5,X,7,5X,1038,2.5,0.916,80.6,4.389,0.8,-0.223,10.6,2.361,6.8,1.917,18.6,2.923,850.3,6.746,112.6,4.724,0.132,-2.022,7.9,2.067,-0.841601563,-0.74627937,,0.875,0.5625,0.4375,0.3125
5,X,8,5X,1038,4.4,1.482,118.8,4.777,0.1,-2.303,8.4,2.128,6.7,1.902,22.1,3.096,485.1,6.184,112.2,4.72,0.231,-1.464,4.9,1.589,0.129356594,-1.695806788,669.5,0.5,0.0625,0,0.1875
5,X,9,5X,1038,5.8,1.758,145.2,4.978,0.3,-1.204,12.2,2.501,6.4,1.856,27.1,3.3,826,6.717,142.4,4.959,0.172,-1.758,8.4,2.128,1.238054734,-0.628124091,1911.6,0.75,0.1875,0,0.0625
5,X,10,5X,1038,4.9,1.589,128.8,4.858,0.8,-0.223,12.5,2.526,6.6,1.887,27.7,3.321,577.4,6.359,130,4.868,0.225,-1.491,5.9,1.775,0.923042313,-1.269084326,732.3,0.6875,0.125,0.0625,0
6,N,1,6N,484,5.9,1.775,147.4,4.993,0.3,-1.204,16.2,2.785,6.8,1.917,45,3.807,1862,7.529,373.3,5.922,0.2,-1.607,17.9,2.885,0.814323969,0.65401108,1937.5,0.6875,0,0.125,0.0625
6,N,2,6N,484,6.5,1.872,160.2,5.076,0.4,-0.916,12.9,2.557,6.6,1.887,44.3,3.791,1612,7.385,440.8,6.089,0.273,-1.297,16.6,2.809,1.542029717,0.206460397,620.5,0.4375,0,0,0.1875
6,N,3,6N,484,3.5,1.253,100.6,4.611,2.1,0.742,8,2.079,7.1,1.96,25.4,3.235,1903,7.551,233.8,5.454,0.123,-2.097,16.9,2.827,-0.621032588,0.859657534,1890.8,0.6875,0.1875,0.25,0
6,N,4,6N,484,5.2,1.649,133.8,4.896,0.8,-0.223,12.8,2.549,6.9,1.932,37.6,3.627,1916,7.558,318.2,5.763,0.166,-1.795,17.8,2.879,0.447865334,0.814277468,1852.5,0.625,0.3125,0.0625,0.125
6,N,5,6N,484,2.3,0.833,75.6,4.325,0.8,-0.223,12.4,2.518,7.2,1.974,14.7,2.688,1266,7.144,160.5,5.078,0.127,-2.065,11.3,2.425,-1.589711571,0.030331159,1914.9,0.375,0.3125,0.0625,0.0625
6,N,6,6N,484,3.1,1.131,91.8,4.52,0.8,-0.223,22.2,3.1,7,1.946,34.2,3.532,2144,7.67,268.3,5.592,0.125,-2.078,19.1,2.95,-0.65847396,0.898199299,1000.2,0.5625,0.3125,0,0.25
6,N,7,6N,484,3.5,1.253,100.8,4.613,0.9,-0.105,16.5,2.803,7.2,1.974,31.8,3.459,2261,7.724,262.3,5.569,0.116,-2.154,20,2.996,-0.838812738,1.236458499,1829.5,0.625,0.25,0,0
6,N,9,6N,484,2.7,0.993,84,4.431,2.2,0.788,22.6,3.118,6.9,1.932,35.2,3.561,1599,7.377,284.5,5.651,0.178,-1.726,14.9,2.701,-0.327290351,0.136937161,1806.8,0.5625,0.125,0.125,0
6,N,10,6N,484,4.2,1.435,113.6,4.733,2.4,0.875,16.7,2.815,6.9,1.932,54.3,3.995,1822,7.508,351.7,5.863,0.193,-1.645,17.2,2.845,0.421038837,0.558963741,1872.9,0.3125,0,0.125,0
6,S,1,6S,498,4,1.386,110.2,4.702,0.6,-0.511,6.4,1.856,6.9,1.932,48.8,3.888,2622,7.872,383.7,5.95,0.146,-1.922,24,3.178,-0.190353618,1.081333995,562.7,0.625,0.125,0.1875,0.25
6,S,2,6S,498,3.4,1.224,98.6,4.591,0.6,-0.511,6.6,1.887,7.1,1.96,20.6,3.025,913,6.817,238.5,5.474,0.261,-1.342,8.8,2.175,-0.509133324,-0.799570131,1722.9,0.75,0.0625,0,0.0625
6,S,3,6S,498,2.1,0.742,72.6,4.285,0.9,-0.105,6.6,1.887,7.2,1.974,25.4,3.235,1704,7.441,220.1,5.394,0.129,-2.047,15.2,2.721,-1.734087541,0.333207701,1269.3,0.6875,0.125,0.125,0.3125
6,S,4,6S,498,4.2,1.435,113.2,4.729,0.8,-0.223,4.3,1.459,7.2,1.974,35.1,3.558,2297,7.739,380.9,5.943,0.166,-1.797,20.9,3.04,-0.539734361,1.000005325,1802,0.5625,0,0.0625,0.125
6,S,5,6S,498,4.8,1.569,126,4.836,0.9,-0.105,4.3,1.459,7.2,1.974,49.7,3.906,2270,7.728,384.5,5.952,0.169,-1.776,20.7,3.03,-0.274392192,1.074763742,1484.1,0.625,0,0.125,0.0625
6,S,6,6S,498,4.7,1.548,124.2,4.822,0.6,-0.511,4.3,1.459,7.3,1.988,32.8,3.49,2343,7.759,369.2,5.911,0.158,-1.848,21.2,3.054,-0.584917877,1.204295744,1804.7,0.5625,0.125,0.25,0.1875
6,S,7,6S,498,3.3,1.194,96.2,4.566,0.8,-0.223,10.2,2.322,7,1.946,69.1,4.236,2823,7.946,268.2,5.592,0.095,-2.354,24.8,3.211,-0.820227518,1.480198397,1285.2,0.5,0,0.125,0.0625
6,S,8,6S,498,4.9,1.589,127.8,4.85,0.8,-0.223,6.3,1.841,6.9,1.932,69.2,4.237,2498,7.823,305.9,5.723,0.122,-2.1,22.7,3.122,0.069780788,1.311701177,1772.1,0.8125,0,0.375,0.25
6,S,9,6S,498,1.9,0.642,68.6,4.228,0.6,-0.511,6.5,1.872,7.3,1.988,33.2,3.503,1864,7.53,235.2,5.46,0.126,-2.07,16.7,2.815,-2.11954984,0.469152734,1674.4,0.625,0,0.0625,0
6,S,10,6S,498,5.5,1.705,139.8,4.94,0.4,-0.916,8.9,2.186,7.1,1.96,68,4.22,2153,7.675,334,5.811,0.155,-1.863,19.6,2.976,0.012436521,1.124253172,1751.5,0.375,0,0,0.1875
7,N,1,7N,1303,12.4,2.518,277.8,5.627,4.9,1.589,16.7,2.815,6.3,1.841,50.3,3.918,981.2,6.889,645.7,6.47,0.658,-0.418,12.8,2.549,4.259925346,-0.483623712,632,0.1875,0,0,0.1875
7,N,2,7N,1303,20.2,3.006,433.8,6.073,6.1,1.808,24,3.178,6.4,1.856,51.4,3.94,1559,7.352,528.6,6.27,0.339,-1.082,17.2,2.845,4.688875969,1.006428359,1886,0.8125,0.0625,0,0.1875
7,N,3,7N,1303,4.3,1.459,116.6,4.759,0.4,-0.916,10.3,2.332,6.6,1.887,23.1,3.14,1180,7.073,232.1,5.447,0.197,-1.626,11.6,2.451,0.546501871,-0.345208168,756.3,0.375,0,0,0.1875
7,N,4,7N,1303,6.3,1.841,155.6,5.047,2.3,0.833,12.4,2.518,6.5,1.872,32,3.466,1191,7.083,253.7,5.536,0.213,-1.546,12.1,2.493,1.761143279,-0.04606536,1857.3,0.5625,0,0,0.1875
7,N,5,7N,1303,4,1.386,109.4,4.695,0.8,-0.223,32.4,3.478,6.8,1.917,17.7,2.874,1107,7.009,134.1,4.899,0.121,-2.111,10.2,2.322,0.034427836,0.104759726,109.4,0.8125,0,0,0
7,N,6,7N,1303,12.3,2.51,276.8,5.623,2.5,0.916,12.7,2.542,6.2,1.825,58.9,4.076,1262,7.14,585.5,6.372,0.464,-0.768,15.3,2.728,4.059605906,-0.074947625,1901.1,0.5625,0,0,0.1875
7,N,7,7N,1303,38,3.638,790.4,6.673,6.1,1.808,14.1,2.646,6.6,1.887,45.3,3.813,2972,7.997,795.7,6.679,0.268,-1.318,30.4,3.414,5.370976123,2.640009058,1479.4,0.625,0,0,0.375
7,N,8,7N,1303,28.8,3.36,606.8,6.408,4.4,1.482,10.9,2.389,6.8,1.917,58,4.06,3894,8.267,710.2,6.566,0.182,-1.702,36.9,3.608,4.175355145,3.120011239,1805.7,0.3125,0,0,0
7,N,9,7N,1303,8,2.079,190.2,5.248,2.7,0.993,10.6,2.361,6.6,1.887,60.4,4.101,1654,7.411,439.2,6.085,0.266,-1.326,17,2.833,2.207748055,0.501797307,1853.3,0.375,0.0625,0,0.1875
7,N,10,7N,1303,12.7,2.542,284.2,5.65,2,0.693,26.1,3.262,6.4,1.856,49.4,3.9,1406,7.249,571.2,6.348,0.406,-0.901,16,2.773,3.74967131,0.329276506,1706.5,0.0625,0,0,0
7,S,1,7S,1320,6.4,1.856,158.4,5.065,2.9,1.065,14.7,2.688,6.9,1.932,51.6,3.944,1345,7.204,364.8,5.899,0.271,-1.305,13.3,2.588,1.350052495,0.221367262,80.7,0.625,0,0,0.1875
7,S,2,7S,1320,5.4,1.686,138.2,4.929,0.4,-0.916,10.3,2.332,6.7,1.902,27,3.296,887.7,6.789,294.3,5.685,0.332,-1.104,9.3,2.23,1.071330533,-0.859611063,1972.2,0.125,0,0,0.0625
7,S,3,7S,1320,6.2,1.825,153.4,5.033,0.4,-0.916,10.1,2.313,6.7,1.902,35.4,3.567,1030,6.937,426.3,6.055,0.414,-0.882,11.2,2.416,1.470935472,-0.684721626,150.7,0,0,0,0.125
7,S,4,7S,1320,12.7,2.542,283.4,5.647,2.7,0.993,6.7,1.902,6.7,1.902,39.2,3.669,1224,7.11,487.4,6.189,0.398,-0.921,13.2,2.58,3.034991326,0.199140207,1965.9,0.3125,0.0625,0,0
7,S,5,7S,1320,4.3,1.459,115.6,4.75,0.4,-0.916,14.4,2.667,6.7,1.902,32.7,3.487,786.8,6.668,409.6,6.015,0.521,-0.653,9,2.197,1.025660647,-1.429091472,474.1,0.125,0,0,0
7,S,6,7S,1320,5.4,1.686,138,4.927,0.3,-1.204,8.2,2.104,6.8,1.917,34.1,3.529,890.9,6.792,371.8,5.918,0.417,-0.874,9.6,2.262,0.967754676,-0.969198936,1912.6,0.875,0,0,0.25
7,S,7,7S,1320,5,1.609,129,4.86,0.5,-0.693,12.2,2.501,6.6,1.887,44.9,3.804,865.5,6.763,369.5,5.912,0.427,-0.851,9.7,2.272,1.338817629,-1.124601952,629,0.875,0.125,0,0.1875
7,S,8,7S,1320,4.9,1.589,127,4.844,0.5,-0.693,14,2.639,6.9,1.932,45,3.807,717,6.575,313.8,5.749,0.438,-0.826,7.7,2.041,0.800022831,-1.253115259,1929.4,0,0,0,0
7,S,9,7S,1320,5.3,1.668,135.8,4.911,6.1,1.808,4.4,1.482,6.8,1.917,34.2,3.532,1131,7.031,284.6,5.651,0.252,-1.38,11.2,2.416,1.073670028,-0.241286487,769.7,0,0,0,0
7,S,10,7S,1320,5.3,1.668,135.4,4.908,2.1,0.742,6.3,1.841,6.8,1.917,41,3.714,1225,7.111,323.1,5.778,0.264,-1.333,12.2,2.501,0.972792718,-0.184652071,2014,0.5,0,0,0.0625
8,N,1,8N,1106,4.9,1.589,127.8,4.85,0.6,-0.511,6.6,1.887,6.8,1.917,25.8,3.25,782.9,6.663,211,5.352,0.27,-1.311,7.8,2.054,0.578935312,-0.950534796,787.8,0.75,0.0625,0,0.0625
8,N,2,8N,1106,6.2,1.825,154,5.037,0.7,-0.357,6,1.792,6.8,1.917,38.7,3.656,1197,7.088,349.7,5.857,0.292,-1.23,12.1,2.493,1.108074379,-0.221794055,1916.7,0.4375,0.1875,0,0
8,N,3,8N,1106,4.5,1.504,119.2,4.781,0.6,-0.511,10.3,2.332,7,1.946,27.5,3.314,721.4,6.581,194.1,5.268,0.269,-1.313,7,1.946,0.152814221,-0.984875534,1914,0.5,0,0,0.1875
8,N,4,8N,1106,6.8,1.917,165,5.106,0.8,-0.223,6.8,1.917,6.8,1.917,65.3,4.179,967.8,6.875,617.9,6.426,0.638,-0.449,11.6,2.451,1.814964232,-0.857471687,1950,0.3125,0.125,0,0.1875
8,N,5,8N,1106,4.8,1.569,125.8,4.835,0.4,-0.916,4.7,1.548,6.8,1.917,40.6,3.704,986.4,6.894,333.2,5.809,0.338,-1.085,10.2,2.322,0.604429046,-0.826053562,1962.7,0.5625,0,0.0625,0
8,N,6,8N,1106,6,1.792,150,5.011,0.9,-0.105,4,1.386,6.9,1.932,76.8,4.341,1030,6.937,495.1,6.205,0.481,-0.733,11.3,2.425,1.184713981,-0.710675029,1949.5,0.4375,0,0,0.1875
8,N,7,8N,1106,4.4,1.482,117.2,4.764,0.2,-1.609,4.5,1.504,7,1.946,37.6,3.627,963.5,6.871,238.9,5.476,0.248,-1.395,9.2,2.219,-0.227465366,-0.670227905,1618.7,0.8125,0.125,0,0.125
8,N,8,8N,1106,4.5,1.504,119,4.779,0.1,-2.303,6.7,1.902,6.9,1.932,32.8,3.49,844.9,6.739,253.6,5.536,0.3,-1.203,8.5,2.14,0.017424662,-0.998950202,1978.8,0.5625,0,0,0.1875
8,N,9,8N,1106,3.2,1.163,94,4.543,0.4,-0.916,8.2,2.104,6.9,1.932,39,3.664,746.6,6.616,235.7,5.463,0.316,-1.153,7.6,2.028,-0.230099038,-1.353094076,1070.6,0.5625,0,0,0.0625
8,N,10,8N,1106,7.8,2.054,186,5.226,0.5,-0.693,6.2,1.825,6.8,1.917,40.1,3.691,748.8,6.618,274.3,5.614,0.366,-1.004,7.9,2.067,1.548887818,-0.853986435,1940,0.3125,0.0625,0,0.1875
8,S,1,8S,1086,4.4,1.482,118.4,4.774,0.6,-0.511,2.8,1.03,6.9,1.932,49,3.892,1686,7.43,295.8,5.69,0.175,-1.74,15.8,2.76,-0.087481898,0.336347372,1279,0.5,0.125,0,0.1875
8,S,2,8S,1086,7.9,2.067,187.6,5.234,0.7,-0.357,2.6,0.956,6.9,1.932,53.9,3.987,1747,7.466,505,6.225,0.289,-1.241,17.3,2.851,1.272278595,0.481066025,2020,0.1875,0.0625,0,0
8,S,3,8S,1086,2.7,0.993,83.4,4.424,0.3,-1.204,2.6,0.956,7,1.946,73.6,4.299,1674,7.423,461.2,6.134,0.276,-1.289,16.3,2.791,-0.881168385,-0.32120255,1939,0.625,0.0625,0.0625,0.0625
8,S,4,8S,1086,20.9,3.04,447.4,6.103,2.5,0.916,2.1,0.742,6.7,1.902,74.1,4.305,2868,7.961,427.5,6.058,0.149,-1.903,27.2,3.303,3.216145952,2.352630537,1942.7,0.5,0.3125,0.125,0.25
8,S,5,8S,1086,4.5,1.504,119.6,4.784,0.6,-0.511,8.2,2.104,6.7,1.902,44.2,3.789,1632,7.398,379.4,5.939,0.232,-1.459,16.2,2.785,0.633478674,0.089467253,1982.5,0.5625,0.25,0,0.25
8,S,6,8S,1086,1.1,0.095,52,3.951,0.9,-0.105,4.9,1.589,6.9,1.932,36.3,3.592,1803,7.497,468.2,6.149,0.26,-1.348,17.6,2.868,-1.73424055,-0.682895201,1960.5,0.3125,0,0,0.125
8,S,7,8S,1086,2.5,0.916,79.4,4.374,0.7,-0.357,4.5,1.504,7.1,1.96,44.1,3.786,2137,7.667,266.4,5.585,0.125,-2.082,19.1,2.95,-1.427289985,0.679554091,1668,0.5,0.1875,0,0.375
8,S,8,8S,1086,6.3,1.841,156,5.05,0.9,-0.105,6.2,1.825,6.9,1.932,57.8,4.057,2131,7.664,532.9,6.278,0.25,-1.386,20.7,3.03,0.981815295,0.771181761,1974.8,0.4375,0.0625,0,0.3125
8,S,9,8S,1086,5.4,1.686,138,4.927,0.6,-0.511,2.9,1.065,7.1,1.96,38.1,3.64,2234,7.712,256.7,5.548,0.115,-2.164,19.8,2.986,-0.310394947,1.304853885,2011,0.6875,0.25,0,0.3125
8,S,10,8S,1086,8.7,2.163,204.2,5.319,0.9,-0.105,4,1.386,7,1.946,63.1,4.145,3368,8.122,439.3,6.085,0.13,-2.037,30.1,3.405,0.94421661,2.132149573,1970.5,0.375,0,0.0625,0.0625
9,X,1,9X,425,6.5,1.872,159,5.069,0.7,-0.357,4.6,1.526,6.8,1.917,26.3,3.27,3024,8.014,492.8,6.2,0.163,-1.814,28.3,3.343,0.866530319,1.484377177,617.9,0.25,0.1875,0.125,0.0625
9,X,2,9X,425,7.2,1.974,174.8,5.164,0.6,-0.511,2.3,0.833,6.8,1.917,33.4,3.509,4127,8.325,581.9,6.366,0.141,-1.959,38.1,3.64,0.867938168,2.043914432,1980.7,0.0625,0,0,0.25
9,X,3,9X,425,5.4,1.686,138,4.927,0.4,-0.916,4,1.386,6.9,1.932,25.5,3.239,3636,8.199,505.2,6.225,0.139,-1.974,33,3.497,0.173702124,1.735342649,1955.2,0.1875,0.1875,0.0625,0.3125
9,X,4,9X,425,5.4,1.686,138.8,4.933,4.4,1.482,14.1,2.646,6.9,1.932,22.3,3.105,2850,7.955,366.7,5.905,0.129,-2.051,25.8,3.25,0.722612952,1.67948177,1979,0.125,0.25,0.25,0.1875
