,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU65,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,NA,NA
OTU66,Fungi,Ascomycota,Leotiomycetes,NA,NA,NA,NA
OTU67,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU68,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,NA,NA
OTU69,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,NA,NA,NA
OTU70,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA
OTU71,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Choiromyces,NA
OTU72,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA
OTU73,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU74,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,NA
OTU75,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU76,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,NA,NA
OTU77,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU78,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Darksidea,NA
OTU79,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,NA
OTU80,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Rachicladosporium,NA
OTU81,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Echria,Echria gigantospora
OTU82,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,NA
OTU83,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta mutabilis
OTU84,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA
OTU85,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU86,Fungi,Ascomycota,Leotiomycetes,Helotiales,Rutstroemiaceae,NA,NA
OTU87,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA
OTU88,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA
OTU89,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Reticulascaceae,NA,NA
OTU90,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Periconia macrospinosa
OTU91,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,NA
OTU92,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Auricularia,NA
OTU93,Fungi,Ascomycota,Pezizomycetes,NA,NA,NA,NA
OTU94,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,NA
OTU95,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala equina
OTU96,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,NA,NA,NA
OTU97,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA
OTU99,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,NA
OTU100,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU101,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
OTU102,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola grisea
OTU103,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,NA,NA,NA
OTU104,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,NA,NA
OTU105,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA
OTU106,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,NA,NA
OTU107,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,NA,NA
OTU109,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU110,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Neonectria,NA
OTU111,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,NA
OTU112,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
OTU113,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU114,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Nidulariaceae,Crucibulum,Crucibulum laeve
OTU115,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,NA,NA
